Names,Age,Total_Purchase,Account_Manager,Years,Num_Sites,Onboard_date,Location,Company,Churn,State,City,Tenure,Agegroup,Spendperyear,Siteperyear,HasAccountManager,Onboard_year,OnboardQuarter,CompanyRisk,EngagementScore,LoyaltyScore
Eileen Reyes,34,9228.84,1,5.29,12,2006-11-25 12:38:00,"0235 Taylor Lakes Suite 365 East Michaelfort, AL 61409-7098",Curtis PLC,1,AL,Michaelfort,5-10years,25-35,1744.58,2.3,Yes,2006,4,1.0,63.480000000000004,1467.22
Mr. Jerome Dawson,36,6330.43,1,5.43,7,2010-08-24 00:52:00,"675 Jones Viaduct Samanthastad, MT 88716-7510",Oconnell LLC,1,MT,Samanthastad,5-10years,35-45,1165.83,1.3,Yes,2010,3,1.0,38.01,984.51
Katie Sutton,40,11611.51,1,5.64,14,2010-06-19 16:02:00,"564 Amanda Park Apt. 388 Watsonport, NJ 61471-7559",Patrick Inc,1,NJ,Watsonport,5-10years,35-45,2058.78,2.5,Yes,2010,2,1.0,78.96,1748.72
Dr. Kylie Mccann,37,8397.41,0,5.59,12,2008-06-07 21:35:00,"150 Steven Center Port Randallshire, SC 42333-2817",Shepherd LLC,1,SC,Randallshire,5-10years,35-45,1502.22,2.1,No,2008,2,1.0,67.08,1274.27
Jose Kelly,49,9714.47,0,5.7,9,2014-11-04 04:05:00,"205 Lewis Ports Suite 146 New Lukehaven, NE 61616","Fisher, Torres and Ramsey",1,NE,Lukehaven,5-10years,45-55,1704.29,1.6,No,2014,4,1.0,51.300000000000004,1449.92
Nicholas Levy,51,11602.11,1,5.3,10,2012-04-06 10:12:00,"668 Walker Trace Apt. 580 Samanthaside, FL 56884",Pruitt-Thompson,1,FL,Samanthaside,5-10years,45-55,2189.08,1.9,Yes,2012,2,1.0,53.0,1841.6
Jennifer Carrillo,35,12871.79,0,4.64,12,2006-03-25 01:04:00,"659 Robertson Lake Lake Peggy, CT 28993",Ingram-Swanson,1,CT,Peggy,3-5years,35-45,2774.09,2.6,No,2006,1,1.0,55.67999999999999,2282.23
April Freeman,41,9923.79,1,4.75,13,2011-08-28 03:41:00,"16914 Oconnell Forge Apt. 477 Atkinsonmouth, MD 32666","Larson, Ross and Ward",1,MD,Atkinsonmouth,3-5years,35-45,2089.22,2.7,Yes,2011,3,1.0,61.75,1725.88
Hunter Rivera,26,8787.39,1,5.42,11,2014-12-18 19:58:00,"233 Mark Vista New Russellbury, FL 08810","Tate, Hall and Moreno",1,FL,Russellbury,5-10years,25-35,1621.29,2.0,Yes,2014,4,1.0,59.62,1368.75
Travis Ellis,46,12200.31,0,6.62,10,2010-10-20 00:12:00,"730 Doris Drive Suite 569 Port Adam, KY 42352",Ramirez-Mendoza,1,KY,Adam,5-10years,45-55,1842.95,1.5,No,2010,4,1.0,66.2,1601.09
Tommy Frey,38,8825.87,1,8.97,10,2008-01-06 09:57:00,"200 Craig Spur Suite 465 Wadeton, NC 47363",Garcia-Owens,1,NC,Wadeton,5-10years,35-45,983.93,1.1,Yes,2008,1,1.0,89.7,885.24
Nicole Friedman,44,8615.52,0,7.39,9,2006-10-19 23:02:00,"77755 John River Kendrafurt, MP 02175-9994","Miranda, Summers and Moran",1,MP,Kendrafurt,5-10years,35-45,1165.83,1.2,No,2006,4,1.0,66.50999999999999,1026.88
James Newman,35,9766.95,1,4.59,13,2008-02-29 14:17:00,"1317 Dillon Gardens Michaelville, ME 91569-7889","Griffin, Tucker and Lee",1,ME,Michaelville,3-5years,35-45,2127.88,2.8,Yes,2008,1,1.0,59.67,1747.22
Stephanie Gonzales,36,11550.29,0,6.46,13,2014-01-13 05:18:00,"437 Alex Glens Melindaburgh, ID 78010-8240",Young-Dunn,1,ID,Melindaburgh,5-10years,35-45,1787.97,2.0,No,2014,1,1.0,83.98,1548.3
Mary Aguilar,50,6244.75,0,4.64,11,2015-12-18 13:28:00,Unit 6345 Box 0137 DPO AP 41134-6292,Lee-Aguilar,1,,41134-6292,3-5years,45-55,1345.85,2.4,No,2015,4,1.0,51.04,1107.23
Jordan Owens,45,9459.52,0,5.72,9,2015-07-30 02:34:00,"018 Kristy Mountain Lindseymouth, LA 51400",Reyes PLC,1,LA,Lindseymouth,5-10years,45-55,1653.76,1.6,No,2015,3,1.0,51.48,1407.67
Devin Wilson,46,11222.48,0,4.92,9,2011-02-18 18:11:00,"97426 Carrie Stravenue East Cassandrafort, WV 23196",Cooke Ltd,1,WV,Cassandrafort,3-5years,45-55,2280.99,1.8,No,2011,1,1.0,44.28,1895.69
Samantha Fisher,38,14693.45,1,7.01,10,2011-11-02 16:47:00,"961 Wright Plains Kimberlyborough, AL 59809","Morris, Owens and Sullivan",1,AL,Kimberlyborough,5-10years,35-45,2096.07,1.4,Yes,2011,4,1.0,70.1,1834.39
Monique Medina,49,15005.43,1,5.27,12,2012-07-27 00:30:00,"22013 Matthew Square Johnsonland, LA 27505-9242",Martin-Harris,1,LA,Johnsonland,5-10years,45-55,2847.33,2.3,Yes,2012,3,1.0,63.239999999999995,2393.21
Nathan Gross,42,10276.33,1,6.54,11,2007-07-01 05:53:00,"1136 Beasley Mountains Apt. 622 Smithton, UT 09411-9465","Robinson, Brown and Stephens",1,UT,Smithton,5-10years,35-45,1571.3,1.7,Yes,2007,3,1.0,71.94,1362.91
Douglas Joseph,44,8474.11,0,6.61,14,2012-10-01 08:10:00,Unit 9630 Box 8710 DPO AP 69319,Clark PLC,1,,69319,5-10years,35-45,1282.01,2.1,No,2012,4,1.0,92.54,1113.55
Elizabeth Moore,47,8235.74,1,6.2,10,2007-10-23 05:18:00,"582 Kimberly Lodge Apt. 082 East Victoriastad, NH 73555","Young, Porter and Hill",1,NH,Victoriastad,5-10years,45-55,1328.35,1.6,Yes,2007,4,1.0,62.0,1143.85
Adam Gomez,48,6495.01,1,5.57,12,2013-02-06 05:15:00,"2889 Coffey Parks Browningmouth, VT 14924-9744",Thompson Group,1,VT,Browningmouth,5-10years,45-55,1166.07,2.2,Yes,2013,1,1.0,66.84,988.59
Timothy Harvey,45,8099.29,1,5.66,10,2008-06-10 14:07:00,"6596 Ronald Union West Courtney, ND 47185","Scott, Ward and Brown",1,ND,Courtney,5-10years,45-55,1430.97,1.8,Yes,2008,2,1.0,56.6,1216.11
Adam Strong,50,11775.75,1,4.83,10,2011-02-06 15:02:00,"33071 Melody Isle East Matthew, WV 08980-8853",Harvey-Mcdowell,1,WV,Matthew,3-5years,45-55,2438.04,2.1,Yes,2011,1,1.0,48.3,2019.85
Charles Whitney,39,8667.02,0,6.82,10,2009-10-23 10:27:00,"8006 Erin Pass Apt. 415 South Karen, LA 27331-0907",Christensen-Mccann,1,LA,Karen,5-10years,35-45,1270.82,1.5,No,2009,4,1.0,68.2,1108.31
Lisa Davis,55,9000.31,1,6.78,10,2008-05-23 01:04:00,"PSC 5306, Box 1682 APO AP 03229",Obrien PLC,1,Box,5306,5-10years,55-65,1327.48,1.5,Yes,2008,2,1.0,67.8,1156.85
Jacob Escobar,50,14398.89,1,5.54,12,2007-11-13 17:10:00,"4182 Mercer Plains Apt. 624 New Lindsey, WA 84468",White-Dennis,1,WA,Lindsey,5-10years,45-55,2599.08,2.2,Yes,2007,4,1.0,66.48,2201.67
Douglas Padilla,38,10863.05,1,5.59,11,2008-04-28 01:11:00,"063 Andrew Harbor New Kathleenbury, AR 48898",Martinez Ltd,1,AR,Kathleenbury,5-10years,35-45,1943.3,2.0,Yes,2008,2,1.0,61.489999999999995,1648.41
Russell Bauer,38,7287.57,1,7.39,11,2007-04-22 06:22:00,"83221 Hendricks Highway Garciastad, OR 20046-4343",Chambers-Simmons,1,OR,Garciastad,5-10years,35-45,986.14,1.5,Yes,2007,2,1.0,81.28999999999999,868.6
Jessica Horton,43,6992.09,1,6.84,11,2010-04-21 18:41:00,Unit 7652 Box 7117 DPO AP 06955-1878,Jackson Group,1,,06955-1878,5-10years,35-45,1022.24,1.6,Yes,2010,2,1.0,75.24,891.85
Alexis Hill,39,6351.79,0,5.86,6,2012-03-24 16:13:00,"335 Dyer Shoals Port Patricia, PR 84461-1647",Campbell and Sons,1,PR,Patricia,5-10years,35-45,1083.92,1.0,No,2012,1,1.0,35.160000000000004,925.92
Heather Hickman,31,11297.57,1,6.23,10,2015-03-17 22:32:00,"7259 Brown Street Apt. 385 Monicaport, GU 05916-8374",Moore LLC,1,GU,Monicaport,5-10years,25-35,1813.41,1.6,Yes,2015,1,1.0,62.300000000000004,1562.6
Steven Stevenson,52,7460.05,0,5.39,12,2013-10-17 21:48:00,"61756 Walls Ridges East James, IA 34568",George Inc,1,IA,James,5-10years,45-55,1384.05,2.2,No,2013,4,1.0,64.67999999999999,1167.46
Hailey Sanchez,41,14429.41,1,5.51,11,2007-09-29 00:43:00,"78018 Ariana Crest Suite 467 North Tamara, IA 84527",Evans-Wagner,1,IA,Tamara,5-10years,35-45,2618.77,2.0,Yes,2007,3,1.0,60.61,2216.5
Randall Weber,34,12983.26,1,6.53,13,2007-10-14 20:54:00,"447 Lane Street Apt. 689 East Christopher, MI 80796","Torres, Villanueva and Velasquez",1,MI,Christopher,5-10years,25-35,1988.25,2.0,Yes,2007,4,1.0,84.89,1724.2
Anna Bryant,39,8801.86,1,4.43,10,2007-03-18 11:14:00,"30668 Isabella Freeway Suite 428 Lake Kellyhaven, MP 89074-5017",Bennett Inc,1,MP,Kellyhaven,3-5years,35-45,1986.88,2.3,Yes,2007,1,1.0,44.3,1620.97
Robert Russo,58,9703.93,0,5.16,11,2010-03-02 16:11:00,"976 Thomas Garden Lake Chad, DC 12638-0139",Hanna-Leonard,1,DC,Chad,5-10years,55-65,1880.61,2.1,No,2010,1,1.0,56.760000000000005,1575.31
Tara Burton,49,11177.08,0,4.44,12,2008-01-07 05:11:00,"713 William Loaf New Christopher, DC 71560-8742",Reed-Fields,1,DC,Christopher,3-5years,45-55,2517.36,2.7,No,2008,1,1.0,53.28,2054.61
Yvette Perry,41,8560.76,1,3.99,12,2015-05-09 18:48:00,"83457 Davis Flats Morachester, GU 52752",Moore and Sons,1,GU,Morachester,3-5years,35-45,2145.55,3.0,Yes,2015,2,1.0,47.88,1715.58
Michael Williams,35,15571.26,0,6.45,9,2011-12-02 20:13:00,"5728 Michael Rue Riosland, NY 38804-1415",Petty and Sons,0,NY,Riosland,5-10years,35-45,2414.15,1.4,No,2011,4,0.0,58.050000000000004,2090.1
Connie Golden,39,10268.87,1,3.68,6,2009-08-19 18:52:00,"3324 Gomez Knolls Suite 591 Farmerchester, LA 37647",Brown-Wagner,0,LA,Farmerchester,3-5years,35-45,2790.45,1.6,Yes,2009,3,0.0,22.080000000000002,2194.2
Seth Griffin,44,12328.03,1,4.6,9,2006-08-29 02:24:00,"9436 Warner Mill Suite 265 Port Kenneth, OH 00175-5756",Williams PLC,0,OH,Kenneth,3-5years,35-45,2680.01,2.0,Yes,2006,3,0.0,41.4,2201.43
Rachel Cherry,52,9782.83,0,3.96,7,2012-04-17 10:47:00,"3479 Stewart Way Sandersside, ID 69317-8759","Bishop, Tran and Pope",0,ID,Sandersside,3-5years,45-55,2470.41,1.8,No,2012,2,0.0,27.72,1972.34
Robert Sanders,29,9378.24,0,4.93,8,2015-08-06 22:29:00,"8199 Christopher Tunnel Suite 537 Warnerside, IN 29023-3624","White, Jones and Nelson",0,IN,Warnerside,3-5years,25-35,1902.28,1.6,No,2015,3,0.0,39.44,1581.49
Chris Sutton,37,10314.67,1,5.86,8,2016-06-22 19:20:00,"858 Booth Points South Davidside, AZ 92136-1145",Collins Ltd,0,AZ,Davidside,5-10years,35-45,1760.18,1.4,Yes,2016,2,0.0,46.88,1503.6
Kenneth Alexander,30,8403.78,1,4.13,7,2006-06-28 09:26:00,"032 Jorge Trail Apt. 091 Brianmouth, ID 23964",Torres Inc,0,ID,Brianmouth,3-5years,25-35,2034.81,1.7,Yes,2006,2,0.0,28.91,1638.16
Jason Taylor,46,5570.45,0,2.23,7,2012-05-01 06:20:00,"693 Kevin Groves Apt. 158 Debramouth, NV 73809","Moore, Nichols and Miller",0,NV,Debramouth,1-3years,45-55,2497.96,3.1,No,2012,2,0.0,15.61,1724.6
Dennis Morgan,43,8042.76,0,4.95,8,2006-04-29 20:25:00,"00103 Jeffrey Crest Apt. 205 Padillaville, IA 90755","Barry, Jordan and Hall",0,IA,Padillaville,3-5years,35-45,1624.8,1.6,No,2006,2,0.0,39.6,1351.72
Penny Perez,44,10309.15,1,6.35,9,2006-01-10 18:04:00,"725 Stephanie Springs Apt. 350 South Brianbury, MP 98006",Davis-Travis,0,MP,Brianbury,5-10years,35-45,1623.49,1.4,Yes,2006,1,0.0,57.15,1402.61
Erin Gilbert,35,12357.31,0,5.03,10,2014-08-06 19:11:00,"7098 Vicki Lane Suite 339 South Dominic, NM 43022-5425","Ware, Williams and Hill",0,NM,Dominic,5-10years,35-45,2456.72,2.0,No,2014,3,0.0,50.300000000000004,2049.31
Sean Macias,47,11306.1,0,6.01,7,2006-07-02 23:47:00,"911 Kent Point Anthonytown, KS 47499",Jimenez Group,0,KS,Anthonytown,5-10years,45-55,1881.21,1.2,No,2006,3,0.0,42.07,1612.85
Christina Lewis,32,13630.93,0,4.38,10,2014-01-03 00:55:00,"273 Alexander Burg Suite 754 New Alexandrachester, DE 41261-1457","Thompson, Shelton and Pena",0,DE,Alexandrachester,3-5years,25-35,3112.08,2.3,No,2014,1,0.0,43.8,2533.63
Lori Jackson,36,12284.58,1,5.7,9,2015-12-07 10:18:00,"19131 Robinson Mission Apt. 384 Smithview, AS 99303",Webb PLC,0,AS,Smithview,5-10years,35-45,2155.19,1.6,Yes,2015,4,0.0,51.300000000000004,1833.52
Mark Murray,39,8930.49,1,5.71,10,2014-12-10 09:22:00,"3444 Delgado Squares Apt. 967 Pageville, MI 59677",Lawson Inc,0,MI,Pageville,5-10years,35-45,1564.01,1.8,Yes,2014,4,0.0,57.1,1330.92
Dana Lewis,43,10578.14,0,1.87,10,2008-05-28 08:06:00,USNV Soto FPO AA 90235-3866,"Murphy, Park and Boyer",0,,90235-3866,1-3years,35-45,5656.76,5.3,No,2008,2,0.0,18.700000000000003,3685.76
Dr. Michael Contreras,45,10364.82,0,5.93,5,2016-08-22 05:47:00,"53891 Paula Corners Apt. 946 West Michael, ME 42796-1668",Holt-Rogers,0,ME,Michael,5-10years,45-55,1747.86,0.8,No,2016,3,0.0,29.65,1495.65
Rebecca Rasmussen,33,7750.54,1,4.57,8,2012-07-19 13:34:00,"PSC 2978, Box 1358 APO AP 49912-3876",Rodriguez-Flynn,0,Box,2978,3-5years,25-35,1695.96,1.8,Yes,2012,3,0.0,36.56,1391.48
Melanie Turner,48,10963.5,1,5.89,9,2008-03-07 10:48:00,"3987 Douglas Garden South Amanda, LA 99160-1676",Gates Ltd,0,LA,Amanda,5-10years,45-55,1861.38,1.5,Yes,2008,1,0.5,53.01,1591.22
Jeffery Ferguson,32,12547.91,0,7.78,10,2011-12-22 17:51:00,"1599 Rush Crescent Apt. 982 Bowmanchester, TX 33118-6129",Watts Ltd,0,TX,Bowmanchester,5-10years,25-35,1612.84,1.3,No,2011,4,0.0,77.8,1429.15
Brenda Haley,41,14069.41,1,1.62,10,2010-10-14 07:46:00,USS Barr FPO AE 09092,Forbes LLC,0,,09092,1-3years,35-45,8684.82,6.2,Yes,2010,4,0.0,16.200000000000003,5370.0
William Taylor,44,9723.71,0,4.34,9,2012-06-30 10:01:00,"499 Contreras Estates Suite 640 Tylertown, NY 97261",Stewart Inc,0,NY,Tylertown,3-5years,35-45,2240.49,2.1,No,2012,2,0.0,39.06,1820.92
William Lyons,43,6298.75,1,4.51,9,2015-03-26 00:41:00,"2758 Williams Heights Apt. 571 Colleenton, AK 36124-5765","Brown, Conner and Torres",0,AK,Colleenton,3-5years,35-45,1396.62,2.0,Yes,2015,1,0.0,40.589999999999996,1143.15
Bobby Christian,35,12107.03,0,5.82,9,2011-03-12 07:37:00,"PSC 8568, Box 1611 APO AA 56585-0874","Freeman, Lam and Jenkins",0,Box,8568,5-10years,35-45,2080.25,1.5,No,2011,1,0.0,52.38,1775.22
Victoria Medina,43,11674.12,0,2.88,8,2012-10-24 02:46:00,"816 Jeremy Bridge Apt. 543 New Michelleville, VI 50678",Walters-Sanders,0,VI,Michelleville,1-3years,35-45,4053.51,2.8,No,2012,4,0.0,23.04,3008.79
William Haney,56,12502.81,0,5.47,8,2007-08-09 17:54:00,"143 Andrea Flat Lake Michael, ID 33149","Powell, Erickson and Rush",0,ID,Michael,5-10years,55-65,2285.71,1.5,No,2007,3,0.0,43.76,1932.43
Alan Gray,29,9617.59,0,5.49,8,2013-02-19 03:23:00,"9278 Jenna Ways Apt. 628 West Ryan, AZ 06819-5978",Mendoza Inc,0,AZ,Ryan,5-10years,25-35,1751.84,1.5,No,2013,1,0.0,43.92,1481.91
Jessica Johnson,36,13472.79,1,4.77,8,2006-02-14 22:16:00,"PSC 8132, Box 3379 APO AA 45232-2030",Young and Sons,0,Box,8132,3-5years,35-45,2824.48,1.7,Yes,2006,1,0.0,38.16,2334.97
Joshua Tran,49,9805.7,0,4.86,9,2011-04-29 16:53:00,"7774 Gonzalez Camp Suite 326 Lake Nathan, CA 46393-3674",Harris Group,0,CA,Nathan,3-5years,45-55,2017.63,1.9,No,2011,2,0.0,43.74,1673.33
Lisa Harmon,31,11743.24,0,5.3,6,2010-06-06 05:12:00,"2190 Fox Mountains North Jennifer, WV 75027-6097",Le LLC,0,WV,Jennifer,5-10years,25-35,2215.71,1.1,No,2010,2,0.0,31.799999999999997,1864.01
Stephen Jenkins,30,12788.37,0,4.31,10,2009-08-22 20:21:00,USNV Perry FPO AE 07826-0914,Everett-Taylor,0,,07826-0914,3-5years,25-35,2967.14,2.3,No,2009,3,0.0,43.099999999999994,2408.36
Misty Tate,40,5218.49,0,3.8,10,2006-11-16 04:13:00,"12915 Jeffrey Canyon Blackshire, AS 18084",Soto PLC,0,AS,Blackshire,3-5years,35-45,1373.29,2.6,No,2006,4,0.0,38.0,1087.19
Isaiah Noble,44,10526.18,0,7.67,9,2009-09-21 12:50:00,"08820 Foster Via Suite 564 Barkerview, ME 82495-3527",Taylor-Bradley,0,ME,Barkerview,5-10years,35-45,1372.38,1.2,No,2009,3,0.0,69.03,1214.09
Jeff Davis,43,8583.5,1,4.39,10,2014-08-23 03:44:00,"115 Andrews Vista South Kristinchester, SD 82774-5194","Klein, Dalton and Doyle",0,SD,Kristinchester,3-5years,35-45,1955.24,2.3,Yes,2014,3,0.0,43.9,1592.49
Stacey Harding,39,11008.0,0,4.42,8,2007-12-22 13:07:00,"454 Sara Ways New Brandistad, AL 82361",Robinson-Koch,0,AL,Brandistad,3-5years,35-45,2490.5,1.8,No,2007,4,0.0,35.36,2031.0
William Perkins,42,9625.89,1,5.84,9,2014-02-03 00:37:00,"54740 Jeffrey Place Apt. 914 Amandaland, MI 87447",Mills-Howe,0,MI,Amandaland,5-10years,35-45,1648.27,1.5,Yes,2014,1,0.0,52.56,1407.29
James Contreras,46,11119.11,1,3.51,14,2008-12-08 09:23:00,"10454 David Greens South Jenniferbury, FM 87283-5336",Taylor-Robbins,0,FM,Jenniferbury,3-5years,45-55,3167.84,4.0,Yes,2008,4,0.0,49.14,2465.43
Brian Morse,46,9982.55,1,4.75,7,2009-05-05 04:56:00,"7865 Gutierrez Expressway Suite 948 Tiffanyside, AR 59662-2367",Robinson Inc,0,AR,Tiffanyside,3-5years,45-55,2101.59,1.5,Yes,2009,2,0.0,33.25,1736.1
Jennifer Hernandez,39,11159.46,0,3.95,11,2010-08-23 13:43:00,"1526 Jessica Corner Suite 592 Lindsayshire, OH 56989-0550","Howe, Carpenter and Washington",0,OH,Lindsayshire,3-5years,35-45,2825.18,2.8,No,2010,3,0.0,43.45,2254.44
Heather Figueroa,36,12668.26,0,4.54,12,2007-06-27 02:09:00,"945 Blankenship Plain Suite 062 East Christopherville, MI 15647-1190",Martin and Sons,0,MI,Christopherville,3-5years,35-45,2790.37,2.6,No,2007,2,0.0,54.480000000000004,2286.69
Russell Marks,38,9087.9,0,2.7,10,2015-02-10 10:17:00,"310 Taylor Walks Apt. 649 Lake Shane, MD 23982",Mcknight and Sons,0,MD,Shane,1-3years,35-45,3365.89,3.7,No,2015,1,0.0,27.0,2456.19
Riley Gill,41,9091.21,0,4.55,11,2007-10-20 08:11:00,"30353 Amber Extension Apt. 202 Austinberg, VA 89084","Robertson, Young and Mcfarland",0,VA,Austinberg,3-5years,35-45,1998.07,2.4,No,2007,4,0.0,50.05,1638.06
Brian Love,44,8755.02,1,5.71,8,2010-06-15 02:58:00,"43677 Smith Mission Meganview, VA 54055",Quinn and Sons,0,VA,Meganview,5-10years,35-45,1533.28,1.4,Yes,2010,2,0.0,45.68,1304.77
Lauren Walker,37,6362.93,1,6.8,7,2007-08-02 02:34:00,"599 Graham Courts North Katherine, WI 92642",Young-Newman,0,WI,Katherine,5-10years,35-45,935.72,1.0,Yes,2007,3,0.0,47.6,815.76
Melanie Bender,48,13189.35,0,3.25,7,2006-01-18 03:29:00,"007 Shaw Trafficway Patrickstad, PA 29094-0827",Richardson-Keller,0,PA,Patrickstad,3-5years,45-55,4058.26,2.2,No,2006,1,0.0,22.75,3103.38
Samuel Castillo,47,10584.71,0,6.05,8,2006-04-14 04:20:00,"63139 Kristin Locks Suite 522 Lambton, WI 60723-5177",Jimenez-Thompson,0,WI,Lambton,5-10years,45-55,1749.54,1.3,No,2006,2,0.0,48.4,1501.38
Ashley Soto,49,9853.64,1,6.95,6,2012-01-01 21:48:00,"275 Thompson Street Lake Nathan, AS 67338-1025",Brown Inc,0,AS,Nathan,5-10years,45-55,1417.79,0.9,Yes,2012,1,0.0,41.7,1239.45
Adriana James,36,10448.09,0,4.13,8,2016-04-09 09:02:00,USNV Ferguson FPO AP 58507,"Doyle, Butler and Coleman",0,,58507,3-5years,35-45,2529.8,1.9,No,2016,2,0.0,33.04,2036.66
Andrea Salas,42,11473.38,1,2.87,10,2015-03-19 22:32:00,"308 Graham Corners Valeriehaven, SC 12062",Blackwell PLC,0,SC,Valeriehaven,1-3years,35-45,3997.69,3.5,Yes,2015,1,0.0,28.700000000000003,2964.7
Erik Johnson,39,8986.28,0,4.36,8,2007-12-12 11:10:00,"6987 Weiss Flats Apt. 770 North Maria, MS 98836-9686",Lewis Group,0,MS,Maria,3-5years,35-45,2061.07,1.8,No,2007,4,0.0,34.88,1676.54
Christopher Whitehead,33,13314.19,0,5.45,9,2007-01-10 01:47:00,"323 Farmer Cape Apt. 744 Jonathanfort, NJ 29387-2732",Harvey-Mckay,0,NJ,Jonathanfort,5-10years,25-35,2442.97,1.7,No,2007,1,0.0,49.050000000000004,2064.22
Casey Mcdaniel,41,9918.77,0,4.02,10,2016-03-04 04:04:00,Unit 5523 Box 7609 DPO AA 77484-6339,Bishop and Sons,0,,77484-6339,3-5years,35-45,2467.36,2.5,No,2016,1,0.0,40.199999999999996,1975.85
Jeremiah Lee,45,12783.21,1,4.47,10,2015-12-02 08:14:00,"03538 Gonzalez Forges Hamiltonbury, CA 87284",Snyder PLC,0,CA,Hamiltonbury,3-5years,45-55,2859.78,2.2,Yes,2015,4,0.0,44.699999999999996,2336.97
Jennifer Patterson,46,7026.18,0,6.3,8,2012-01-31 23:08:00,"01546 Jared Key Justinview, OR 04118-6027","Carlson, King and Murray",0,OR,Justinview,5-10years,45-55,1115.27,1.3,No,2012,1,0.0,50.4,962.49
Lawrence Morton,48,9706.88,0,6.45,8,2006-08-24 18:32:00,"0434 Douglas Ridge Suite 884 Raychester, DE 82008",Clark LLC,0,DE,Raychester,5-10years,45-55,1504.94,1.2,No,2006,3,0.0,51.6,1302.94
Jeffrey Hunt,42,10236.95,1,5.71,8,2013-12-11 11:20:00,"479 Samantha Groves Suite 505 Morrowshire, CA 94582-2855",Garcia Group,0,CA,Morrowshire,5-10years,35-45,1792.81,1.4,Yes,2013,4,0.0,45.68,1525.63
Gina Richardson,33,13157.08,1,5.04,10,2006-08-14 09:24:00,"44577 John Keys Robertview, FL 73433-8410",Murphy Inc,0,FL,Robertview,5-10years,25-35,2610.53,2.0,Yes,2006,3,0.0,50.4,2178.32
Richard Farmer,44,8588.46,1,7.77,8,2012-05-07 09:58:00,"115 Courtney Springs Suite 396 Jenniferland, IL 43853-4718","Schroeder, Hines and Thompson",0,IL,Jenniferland,5-10years,35-45,1105.34,1.0,Yes,2012,2,0.0,62.16,979.3
Brian White,48,7778.73,1,4.18,8,2013-01-09 06:06:00,"PSC 1209, Box 3739 APO AE 03896","Martinez, Ochoa and Jennings",0,Box,1209,3-5years,45-55,1860.94,1.9,Yes,2013,1,0.0,33.44,1501.69
Richard Meadows,42,10268.0,0,5.33,6,2007-09-14 04:40:00,"64425 Brittany Common Joycechester, NE 85166-7648","Thompson, Rojas and Moore",0,NE,Joycechester,5-10years,35-45,1926.45,1.1,No,2007,3,0.0,31.98,1622.12
Omar Moore,34,9845.35,0,4.82,7,2008-12-04 20:34:00,"960 Joseph Landing South Philip, MH 88524-5021",Ortiz-Nixon,0,MH,Philip,3-5years,25-35,2042.6,1.5,No,2008,4,0.0,33.74,1691.64
Tasha Reed,37,11912.13,0,5.67,10,2011-02-19 18:04:00,"575 Kara Shores Anthonyburgh, VT 30056",Price Group,0,VT,Anthonyburgh,5-10years,35-45,2100.9,1.8,No,2011,1,0.0,56.7,1785.93
Albert Clayton,33,12115.91,1,5.5,9,2010-08-09 00:14:00,Unit 6274 Box 5329 DPO AA 54598,"Mann, Roberts and Hoffman",0,,54598,5-10years,25-35,2202.89,1.6,Yes,2010,3,0.0,49.5,1863.99
John Mejia,35,10801.37,1,5.64,11,2014-12-04 07:09:00,"1159 Charles Mountain Elainechester, ND 45109",Adams-Crawford,0,ND,Elainechester,5-10years,35-45,1915.14,2.0,Yes,2014,4,0.0,62.04,1626.71
Diane Terry,53,13173.82,0,5.26,7,2007-10-15 03:45:00,"543 Bell Ranch Apt. 002 Kevinfurt, ID 14051-9447","Walton, Barnes and Simon",0,ID,Kevinfurt,5-10years,45-55,2504.53,1.3,No,2007,4,0.0,36.82,2104.44
Christina Maldonado,49,9940.76,0,5.72,11,2006-08-28 11:16:00,"483 Douglas Club Apt. 632 Port Valerie, PW 88649-6413","Moreno, Green and Moreno",0,PW,Valerie,5-10years,45-55,1737.9,1.9,No,2006,3,0.0,62.919999999999995,1479.28
Kathryn Malone,46,12261.79,1,3.72,10,2010-02-17 15:02:00,"52750 Roberts Via Stephenstad, ME 82199-5372",Stewart-Nichols,0,ME,Stephenstad,3-5years,45-55,3296.18,2.7,Yes,2010,1,0.0,37.2,2597.84
Cynthia Burns,47,12987.28,0,5.86,10,2007-08-30 07:15:00,USCGC Gould FPO AP 18053-9165,"Perez, Miller and Mcdowell",0,,18053-9165,5-10years,45-55,2216.26,1.7,No,2007,3,0.0,58.6,1893.19
Christina Reed,51,4523.91,0,3.98,8,2013-03-06 01:02:00,"53000 Mary Bypass New Markbury, IL 60012-4197",Atkins Group,0,IL,Markbury,3-5years,45-55,1136.66,2.0,No,2013,1,0.0,31.84,908.42
Brittney Stokes,41,6172.23,0,4.28,8,2013-11-11 04:06:00,"1045 Kimberly Avenue South John, AR 19601",Hood-Webb,0,AR,John,3-5years,35-45,1442.11,1.9,No,2013,4,0.0,34.24,1168.98
Mary Griffin,49,6283.67,0,6.35,11,2007-01-07 04:15:00,"91062 Michelle Underpass Lloydmouth, ND 88737",Mathews-Clark,0,ND,Lloydmouth,5-10years,45-55,989.55,1.7,No,2007,1,0.0,69.85,854.92
